Rank,Name,Time
1,Grand Ledge (A),1:49.30
2,Grand Ledge (A),1:49.38
3,Grand Ledge (A),1:49.52
4,Grand Ledge (A),1:49.90
5,Grand Ledge (A),1:50.48
6,Grand Ledge (A),1:53.55
7,Grand Ledge (A),1:57.02
8,Grand Ledge (A),2:00.50
9,Grand Ledge (B),2:00.86
10,Grand Ledge (A),2:02.94
11,Grand Ledge (B),2:02.98
12,Grand Ledge (B),2:04.99
13,Grand Ledge (B),2:06.83
14,Grand Ledge (B),2:08.56
15,Grand Ledge (B),2:12.27
16,Grand Ledge (B),2:12.29
17,Grand Ledge (C),2:23.63
18,Grand Ledge (B),2:32.24
19,Grand Ledge (C),2:47.09
