Rank,Name,Time
1,Holt (A),1:51.17
2,Holt (A),1:51.50
3,Holt (A),1:52.74
4,Holt (A),1:53.57
5,Holt (A),1:53.61
5,Holt (A),1:53.61
7,Holt (A),1:54.76
8,Holt (A),1:56.11
9,Holt (A),1:56.53
9,Holt (A),1:56.53
11,Holt (A),1:56.66
12,Holt (A),1:58.15
13,Holt (B),1:58.80
13,Holt (B),1:58.80
15,Holt (B),1:59.48
16,Holt (B),1:59.63
17,Holt (B),1:59.76
18,Holt (B),1:59.78
19,Holt (A),2:01.10
20,Holt (B),2:01.22
21,Holt (B),2:01.96
22,Holt (B),2:02.23
23,Holt (B),2:03.13
24,Holt (B),2:03.48
25,Holt (C),2:07.63
26,Holt (C),2:11.19
27,Holt (C),2:11.81
28,Holt (C),2:13.28
